n_estimators,eta,min_child_weight,max_depth,subsample,colsample_bytree,best_iteration
100,0.1,1,9,0.5,1.0,778
100,0.1,1,9,0.8,1.0,361
100,0.1,7,9,0.5,1.0,208
100,0.1,3,3,0.5,0.9,366
100,0.1,3,9,1.0,1.0,1052
100,0.1,5,9,0.8,0.9,665
100,0.1,1,5,0.5,0.8,1611
100,0.1,1,9,0.8,0.8,464
100,0.1,3,3,0.5,1.0,620
100,0.1,1,7,1.0,0.8,296
100,0.1,1,7,1.0,0.9,466
100,0.1,3,3,0.5,0.9,1193
100,0.1,1,3,0.5,1.0,479
100,0.1,1,3,0.5,0.9,236
100,0.1,7,5,0.5,0.9,435
100,0.1,1,9,0.8,1.0,344
100,0.1,7,9,1.0,1.0,568
100,0.1,1,9,0.8,0.9,784
100,0.1,1,9,1.0,1.0,512
100,0.1,1,9,0.8,1.0,478
100,0.1,1,9,0.8,0.9,512
100,0.1,1,9,1.0,1.0,617
100,0.1,1,9,1.0,0.9,501
100,0.1,1,9,0.8,0.9,994
100,0.1,3,9,1.0,1.0,656
100,0.1,1,7,1.0,0.9,386
100,0.1,7,5,0.5,1.0,591
100,0.1,5,3,0.8,1.0,323
100,0.1,1,9,0.8,1.0,452
100,0.1,5,7,0.8,1.0,513
100,0.1,5,7,1.0,0.9,279
100,0.1,5,5,0.8,1.0,3757
100,0.1,1,9,0.5,0.8,1781
100,0.1,1,3,0.8,1.0,845
100,0.1,1,9,0.8,1.0,951
100,0.1,1,5,0.8,1.0,1050
100,0.1,3,5,0.8,0.9,2314
100,0.1,5,3,0.5,1.0,3484
100,0.1,7,5,0.5,1.0,1518
100,0.1,5,5,0.8,0.9,331
100,0.1,3,3,0.8,1.0,2882
100,0.1,1,9,0.8,1.0,237
100,0.1,5,3,0.8,0.9,1580
100,0.1,3,9,0.8,1.0,340
100,0.1,5,3,0.5,0.9,1955
100,0.1,1,7,1.0,0.9,379
100,0.1,1,9,0.5,0.9,1729
100,0.1,3,5,0.8,0.9,465
100,0.1,5,5,0.5,0.9,612
100,0.1,3,5,1.0,1.0,385
100,0.1,1,9,1.0,0.9,461
100,0.1,7,9,1.0,0.9,542
100,0.1,7,9,1.0,1.0,462
100,0.1,1,3,0.5,1.0,560
100,0.1,5,9,0.8,0.9,580
100,0.1,1,5,0.5,0.8,725
100,0.1,7,7,0.8,0.9,401
100,0.1,3,9,0.8,0.9,1402
100,0.1,1,9,0.8,1.0,1179
100,0.1,1,9,1.0,0.9,450
100,0.1,1,5,0.5,0.9,1427
100,0.1,7,7,0.5,0.9,996
100,0.1,3,3,0.5,0.9,1440
100,0.1,7,3,0.5,0.9,3292
100,0.1,7,3,0.8,0.9,1016
100,0.1,1,5,0.8,0.9,860
100,0.1,7,3,0.5,0.9,222
100,0.1,1,7,0.8,0.9,909
100,0.1,1,9,0.8,0.9,530
100,0.1,1,9,0.8,0.9,675
100,0.1,1,9,1.0,0.9,457
100,0.1,1,5,0.8,1.0,590
100,0.1,7,3,0.5,1.0,388
100,0.1,1,9,1.0,1.0,994
100,0.1,1,3,0.5,1.0,811
100,0.1,3,3,1.0,0.8,526
100,0.1,1,9,0.8,1.0,693
100,0.1,1,9,0.8,1.0,781
100,0.1,1,9,0.5,0.9,918
100,0.1,1,9,1.0,1.0,515
100,0.1,1,9,0.8,1.0,802
100,0.1,1,7,0.5,0.9,842
100,0.1,1,7,1.0,1.0,394
100,0.1,3,5,1.0,0.9,437
100,0.1,5,5,1.0,0.9,923
100,0.1,3,3,1.0,0.9,978
100,0.1,5,3,1.0,0.9,1112
100,0.1,7,7,1.0,0.9,856
100,0.1,7,5,0.8,0.9,804
100,0.1,7,5,0.8,0.8,724
100,0.1,1,9,0.8,1.0,899
100,0.1,7,5,1.0,1.0,525
100,0.1,1,3,1.0,0.9,454
100,0.1,5,3,0.5,0.9,654
100,0.1,7,3,0.5,0.9,258
100,0.1,7,3,0.5,0.9,360
100,0.1,1,9,0.8,0.9,665
100,0.1,7,3,0.8,0.9,969
100,0.1,1,5,0.5,0.9,386
100,0.1,7,3,0.5,0.8,883
